Name	Chromosome	Position
AT1G02690	1	584260
AT1G02700	1	588329
AT1G02710	1	589706
AT1G02720	1	591826
AT1G02730	1	594573
AT1G02740	1	599416
AT1G02750	1	602497
AT1G02760	1	604402
AT1G02770	1	604873
AT1G02780	1	607808
AT1G02790	1	610391
AT1G02800	1	613216
AT1G02810	1	618265
AT1G02813	1	620678
AT1G02816	1	621461
AT1G02820	1	623765
AT1G02830	1	625145
AT1G02840	1	626741
AT1G02850	1	630505
AT1G02860	1	635144
AT1G02870	1	637214
AT1G02880	1	642752
AT1G02890	1	645092
AT1G02900	1	653765
AT1G02910	1	655577
AT1G02920	1	658657
AT1G02930	1	661177
AT1G02940	1	663079
AT1G02950	1	665152
AT1G02952	1	665354
AT1G02960	1	666872
AT1G02965	1	671661
AT1G02970	1	673306
AT1G02980	1	677869
AT1G02990	1	681396
AT1G03000	1	687890
AT1G03010	1	693480
AT1G03020	1	698207
AT1G03022	1	699121
AT1G03030	1	701478
AT1G03040	1	703906
AT1G03050	1	707726
AT1G03055	1	710018
AT1G03060	1	712473
AT1G03070	1	729901
AT1G03080	1	731611
AT1G03090	1	739679
AT1G03100	1	743885
AT1G03103	1	747197
AT1G03106	1	748102
AT1G03110	1	749246
AT1G03120	1	752271
AT1G03130	1	753307
AT1G03140	1	754371
AT1G03150	1	756414
AT1G03160	1	761282
AT1G03170	1	769632
AT1G03180	1	773411
AT1G03190	1	775527
AT1G03200	1	780602
AT1G03210	1	782948
AT1G03220	1	787122
AT1G03230	1	790091
AT1G03240	1	792222
AT1G03250	1	793353
AT1G03260	1	795532
AT1G03270	1	799191
AT1G03280	1	803035
AT1G03290	1	807361
AT1G03300	1	811033
AT1G03310	1	813471
AT1G03320	1	817027
AT1G03330	1	817983
AT1G03340	1	819662
AT1G03350	1	822638
AT1G03360	1	824537
AT1G03365	1	826569
AT1G03370	1	830627
AT1G03380	1	835785
AT1G03390	1	841033
AT1G03400	1	842747
AT1G03410	1	844436
AT1G03430	1	847873
AT1G03440	1	852366
AT1G03445	1	854410
AT1G03457	1	860788
AT1G03470	1	865915
AT1G03475	1	869051
AT1G03490	1	871874
AT1G03495	1	873184
AT1G03502	1	875358
AT1G03506	1	875518
AT1G03510	1	876258
AT1G03515	1	877648
AT1G03520	1	877862
AT1G03530	1	880496
AT1G03540	1	883782
AT1G03550	1	885623
AT1G03545	1	885941
AT1G03560	1	890156
AT1G03570	1	892514
AT1G03590	1	894254
AT1G03600	1	898876
AT1G03610	1	900887
AT1G03620	1	904319
AT1G03630	1	907642
AT1G03640	1	909811
AT1G03650	1	910023
AT1G03660	1	911436
AT1G03670	1	914222
AT1G03680	1	916819
AT1G03687	1	918299
AT1G03700	1	920950
AT1G03710	1	923426
AT1G03720	1	924996
AT1G03730	1	930828
AT1G03740	1	933512
AT1G03743	1	937207
AT1G03746	1	937401
AT1G03750	1	937920
AT1G03760	1	941062
AT1G03770	1	944572
AT1G03780	1	947520
AT1G03790	1	954525
AT1G03800	1	957261
AT1G03810	1	958759
AT1G03820	1	959869
AT1G03830	1	962016
AT1G03840	1	967503
AT1G03850	1	976097
AT1G03860	1	979308
AT1G03870	1	982506
AT1G03880	1	985751
AT1G03890	1	989198
AT1G03900	1	991139
AT1G03905	1	993400
AT1G03910	1	996115
AT1G03920	1	1001321
AT1G03930	1	1004769
AT1G03935	1	1008810
AT1G03940	1	1009542
AT1G03950	1	1011172
AT1G03960	1	1013715
AT1G03970	1	1018100
AT1G03980	1	1018570
AT1G03982	1	1022251
AT1G03990	1	1024847
AT1G04000	1	1028106
AT1G04010	1	1031200
AT1G04020	1	1036537
AT1G04030	1	1040383
AT1G04040	1	1042362
AT1G04050	1	1045598
AT1G04070	1	1050553
AT1G04080	1	1051312
AT1G04090	1	1057151
AT1G04100	1	1059506
AT1G04110	1	1061457
AT1G04120	1	1064450
AT1G04130	1	1073427
AT1G04140	1	1075543
AT1G04150	1	1081208
AT1G04160	1	1086495
AT1G04170	1	1096946
AT1G04171	1	1100444
AT1G04180	1	1104623
AT1G04190	1	1106428
AT1G04200	1	1109482
AT1G04210	1	1114405
AT1G04220	1	1119699
AT1G04230	1	1125518
AT1G04240	1	1128188
AT1G04250	1	1136258
AT1G04260	1	1140528
AT1G04270	1	1141604
AT1G04280	1	1143436
AT1G04290	1	1147523
AT1G04295	1	1147781
AT1G04300	1	1148597
AT1G04310	1	1154764
AT1G04320	1	1159023
AT1G04330	1	1161311
AT1G04340	1	1163097
AT1G04350	1	1165165
AT1G04360	1	1167457
AT1G04370	1	1175177
AT1G04380	1	1176921
AT1G04390	1	1179363
AT1G04400	1	1185550
AT1G04410	1	1189078
AT1G04420	1	1191608
AT1G04425	1	1194187
AT1G04430	1	1198118
AT1G04440	1	1202255
AT1G04445	1	1207344
AT1G04450	1	1208521
AT1G04470	1	1211049
AT1G04480	1	1216095
AT1G04490	1	1217948
AT1G04500	1	1221433
AT1G04501	1	1224552
AT1G04510	1	1226575
AT1G04520	1	1231578
AT1G04530	1	1234176
AT1G04540	1	1237256
AT1G04550	1	1240375
AT1G04555	1	1242558
AT1G04560	1	1244947
AT1G04570	1	1246728
AT1G04580	1	1252122
AT1G04590	1	1258577
AT1G04600	1	1262123
AT1G04610	1	1279388
AT1G04620	1	1282741
AT1G04625	1	1287831
AT1G04630	1	1289734
AT1G04635	1	1291314
AT1G04640	1	1292080
AT1G04645	1	1293770
AT1G04650	1	1294893
AT1G04660	1	1300486
AT1G04670	1	1301861
AT1G04680	1	1303529
AT1G04684	1	1310430
AT1G04690	1	1313564
AT1G04700	1	1316254
AT1G04710	1	1321904
AT1G04720	1	1324923
AT1G04730	1	1325296
AT1G04750	1	1331466
AT1G04760	1	1334760
AT1G04770	1	1336371
AT1G04778	1	1339892
AT1G04780	1	1340669
AT1G04790	1	1345036
AT1G04800	1	1348452
AT1G04810	1	1350180
AT1G04820	1	1356191
AT1G04830	1	1358574
AT1G04840	1	1362867
AT1G04850	1	1365118
AT1G04860	1	1369054
AT1G04870	1	1373234
AT1G04880	1	1375961
AT1G04890	1	1380382
AT1G04900	1	1383841
AT1G04910	1	1387871
AT1G04920	1	1391502
AT1G04930	1	1396291
AT1G04945	1	1399174
AT1G04940	1	1399182
AT1G04950	1	1403085
AT1G04960	1	1407801
AT1G04970	1	1411170
AT1G04980	1	1413644
AT1G04985	1	1416343
AT1G04990	1	1419080
AT1G05000	1	1425593
AT1G05010	1	1431190
AT1G05020	1	1435254
AT1G05030	1	1438152
AT1G05040	1	1447369
AT1G05055	1	1448718
AT1G05060	1	1451030
AT1G05065	1	1454969
AT1G05070	1	1457063
AT1G05080	1	1459091
AT1G05085	1	1460988
AT1G05090	1	1463202
AT1G05100	1	1469610
AT1G05120	1	1471406
AT1G05136	1	1478923
AT1G05140	1	1482548
AT1G05150	1	1484067
AT1G05160	1	1487378
AT1G05170	1	1491111
AT1G05180	1	1498114
AT1G05190	1	1502344
AT1G05200	1	1504960
AT1G05205	1	1509103
AT1G05210	1	1510404
AT1G05220	1	1511907
AT1G05230	1	1512896
AT1G05240	1	1521137
AT1G05250	1	1525601
AT1G05260	1	1529767
AT1G05270	1	1531641
AT1G05280	1	1535444
AT1G05290	1	1539152
AT1G05291	1	1541348
AT1G05300	1	1545106
AT1G05310	1	1550543
AT1G05320	1	1553603
AT1G05330	1	1558170
AT1G05340	1	1558844
AT1G05350	1	1560678
AT1G05360	1	1564598
AT1G05370	1	1569192
AT1G05380	1	1576863
AT1G05385	1	1582671
AT1G05390	1	1583772
AT1G05400	1	1584073
AT1G05410	1	1585371
AT1G05420	1	1590073
AT1G05430	1	1594057
AT1G05440	1	1596007
AT1G05450	1	1599911
AT1G05460	1	1601148
AT1G05470	1	1607357
AT1G05490	1	1618602
AT1G05500	1	1624955
AT1G05510	1	1629446
AT1G05520	1	1630900
AT1G05530	1	1636496
AT1G05540	1	1639286
AT1G05550	1	1640959
AT1G05560	1	1645498
AT1G05562	1	1645875
AT1G05570	1	1647706
AT1G05575	1	1661691
AT1G05577	1	1662370
AT1G05580	1	1665433
AT1G05590	1	1669350
AT1G05600	1	1671936
AT1G05610	1	1673861
AT1G05615	1	1677507
AT1G05620	1	1679158
AT1G05630	1	1682318
AT1G05640	1	1687436
AT1G05650	1	1690264
AT1G05660	1	1694286
AT1G05670	1	1697587
AT1G05675	1	1701116
AT1G05680	1	1703092
AT1G05690	1	1707011
AT1G05700	1	1709796
AT1G05710	1	1714950
AT1G05720	1	1717447
AT1G05730	1	1718555
AT1G05740	1	1720674
AT1G05750	1	1721509
AT1G05760	1	1723734
AT1G05770	1	1725388
AT1G05780	1	1726608
AT1G05785	1	1730249
AT1G05790	1	1732871
AT1G05800	1	1741204
AT1G05805	1	1744773
AT1G05810	1	1748314
AT1G05820	1	1749682
AT1G05830	1	1754244
AT1G05835	1	1762224
AT1G05840	1	1762734
AT1G05850	1	1766503
AT1G05860	1	1769014
AT1G05870	1	1771457
AT1G05880	1	1775643
AT1G05890	1	1779256
AT1G05894	1	1784803
AT1G05900	1	1786856
AT1G05910	1	1790224
AT1G05920	1	1796778
AT1G05925	1	1798901
AT1G05930	1	1799418
AT1G05940	1	1801162
AT1G05950	1	1804401
AT1G05960	1	1807973
AT1G05970	1	1816056
AT1G05980	1	1817400
AT1G05990	1	1818447
AT1G06000	1	1820308
AT1G06002	1	1820977
AT1G06010	1	1822618
AT1G06020	1	1824548
AT1G06030	1	1826880
AT1G06040	1	1828413
AT1G06050	1	1830605
AT1G06060	1	1832943
AT1G06070	1	1834829
AT1G06080	1	1843568
AT1G06090	1	1847883
AT1G06100	1	1851530
AT1G06110	1	1853077
AT1G06120	1	1855943
AT1G06130	1	1857767
AT1G06135	1	1862197
AT1G06137	1	1863544
AT1G06140	1	1864796
AT1G06150	1	1867015
AT1G06149	1	1868989
AT1G06148	1	1874885
AT1G06160	1	1883004
AT1G06170	1	1884981
AT1G06180	1	1889408
AT1G06190	1	1892273
AT1G06200	1	1894336
AT1G06210	1	1897203
AT1G06220	1	1899964
AT1G06225	1	1905975
AT1G06230	1	1906963
AT1G06240	1	1911122
AT1G06250	1	1913256
AT1G06265	1	1914943
AT1G06260	1	1916430
AT1G06270	1	1918088
AT1G06280	1	1920307
AT1G06290	1	1922352
AT1G06310	1	1926791
AT1G06320	1	1930523
AT1G06330	1	1931671
AT1G06340	1	1933284
AT1G06350	1	1935293
AT1G06360	1	1938963
AT1G06380	1	1945124
AT1G06390	1	1946788
AT1G06400	1	1950844
AT1G06410	1	1954850
AT1G06420	1	1958923
AT1G06430	1	1960058
AT1G06440	1	1963380
AT1G06450	1	1965840
AT1G06460	1	1967087
AT1G06470	1	1969729
AT1G06475	1	1973834
AT1G06480	1	1978084
AT1G06490	1	1978762
AT1G06500	1	1989479
AT1G06515	1	1990634
AT1G06510	1	1992333
AT1G06520	1	1993978
AT1G06530	1	2001594
AT1G06540	1	2002877
AT1G06550	1	2003627
AT1G06560	1	2007615
AT1G06570	1	2011885
AT1G06580	1	2014003
AT1G06590	1	2016308
AT1G06610	1	2025356
AT1G06620	1	2025601
AT1G06630	1	2027739
AT1G06640	1	2032338
AT1G06645	1	2034156
AT1G06650	1	2035839
AT1G06660	1	2037311
AT1G06670	1	2040433
AT1G06680	1	2047825
AT1G06690	1	2049602
AT1G06700	1	2052481
AT1G06710	1	2056575
AT1G06720	1	2060444
AT1G06730	1	2067529
AT1G06750	1	2072979
AT1G06760	1	2076504
AT1G06770	1	2078911
AT1G06780	1	2083311
AT1G06790	1	2087232
AT1G06800	1	2089417
AT1G06810	1	2091738
AT1G06820	1	2092946
AT1G06830	1	2097151
AT1G06840	1	2097747
AT1G06850	1	2105048
AT1G06860	1	2107398
AT1G06870	1	2108593
AT1G06880	1	2111148
AT1G06890	1	2111363
AT1G06900	1	2114927
AT1G06910	1	2120991
AT1G06920	1	2124854
AT1G06923	1	2126749
AT1G06925	1	2127704
AT1G06930	1	2128843
AT1G06950	1	2130142
AT1G06960	1	2135851
AT1G06970	1	2138109
AT1G06980	1	2143031
AT1G06990	1	2148387
AT1G07000	1	2150194
AT1G07010	1	2152852
AT1G07020	1	2155213
AT1G07025	1	2157658
AT1G07030	1	2158420
AT1G07040	1	2160938
AT1G07050	1	2164188
AT1G07051	1	2165517
AT1G07060	1	2167107
AT1G07070	1	2168564
AT1G07080	1	2169982
AT1G07090	1	2173952
AT1G07100	1	2177885
AT1G07110	1	2178104
AT1G07119	1	2184347
AT1G07120	1	2184759
AT1G07128	1	2187621
AT1G07130	1	2187776
AT1G07135	1	2189928
AT1G07140	1	2191723
AT1G07150	1	2193941
AT1G07160	1	2197908
AT1G07170	1	2200123
AT1G07175	1	2202330
AT1G07180	1	2204320
AT1G07190	1	2208013
AT1G07200	1	2208719
AT1G07210	1	2215223
AT1G07220	1	2216925
AT1G07230	1	2220253
AT1G07240	1	2223691
AT1G07250	1	2225900
AT1G07260	1	2227594
AT1G07270	1	2229757
AT1G07280	1	2238087
AT1G07290	1	2242256
AT1G07300	1	2245758
AT1G07310	1	2247509
AT1G07320	1	2249133
AT1G07330	1	2251131
AT1G07340	1	2254822
AT1G07350	1	2257425
AT1G07360	1	2260389
AT1G07370	1	2263140
AT1G07380	1	2264829
AT1G07390	1	2269893
AT1G07400	1	2274943
AT1G07410	1	2276053
AT1G07420	1	2277807
AT1G07430	1	2280835
AT1G07440	1	2286149
AT1G07450	1	2287926
AT1G07460	1	2290201
AT1G07470	1	2291457
AT1G07473	1	2294566
AT1G07476	1	2295751
AT1G07480	1	2296023
AT1G07485	1	2301375
AT1G07490	1	2301380
AT1G07500	1	2304766
AT1G07510	1	2305378
AT1G07520	1	2309564
AT1G07530	1	2313582
AT1G07540	1	2318433
AT1G07550	1	2322653
AT1G07560	1	2327320
AT1G07570	1	2331170
AT1G07580	1	2334822
AT1G07590	1	2336523
AT1G07600	1	2338904
AT1G07610	1	2341542
AT1G07615	1	2342198
AT1G07620	1	2344390
AT1G07630	1	2349097
AT1G07640	1	2354354
AT1G07650	1	2359549
AT1G07645	1	2367437
AT1G07660	1	2368837
AT1G07670	1	2370052
AT1G07680	1	2376012
AT1G07690	1	2378076
AT1G07700	1	2379647
AT1G07705	1	2381615
AT1G07702	1	2382251
AT1G07710	1	2386275
AT1G07720	1	2390655
AT1G07725	1	2394801
AT1G07728	1	2395451
AT1G07740	1	2397442
AT1G07730	1	2397527
AT1G07745	1	2400589
AT1G07747	1	2403558
AT1G07750	1	2404037
AT1G07760	1	2406834
AT1G07770	1	2408203
AT1G07780	1	2410056
AT1G07790	1	2412980
AT1G07795	1	2414286
AT1G07810	1	2416265
AT1G07820	1	2421216
AT1G07830	1	2422241
AT1G07840	1	2424054
AT1G07850	1	2426745
AT1G07870	1	2428773
AT1G07860	1	2428911
AT1G07880	1	2434030
AT1G07885	1	2436467
AT1G07890	1	2437330
AT1G07900	1	2442622
AT1G07901	1	2443971
AT1G07910	1	2445470
AT1G07920	1	2454846
AT1G07930	1	2458244
AT1G07940	1	2462953
AT1G07950	1	2465770
AT1G07960	1	2467161
AT1G07970	1	2469286
AT1G07980	1	2473165
AT1G07985	1	2475405
AT1G07990	1	2477157
AT1G08000	1	2483240
AT1G08005	1	2485344
AT1G08010	1	2485906
AT1G08030	1	2489501
AT1G08032	1	2494123
AT1G08035	1	2494402
AT1G08040	1	2495342
AT1G08050	1	2498836
AT1G08060	1	2501742
AT1G08065	1	2511647
AT1G08070	1	2514192
AT1G08080	1	2516991
AT1G08090	1	2524076
AT1G08100	1	2527170
AT1G08110	1	2535328
AT1G08115	1	2538076
AT1G08120	1	2538615
AT1G08125	1	2539614
AT1G08130	1	2542702
AT1G08135	1	2548819
AT1G08140	1	2552036
AT1G08150	1	2556343
AT1G08160	1	2559487
AT1G08165	1	2561627
AT1G08170	1	2562941
AT1G08180	1	2564572
AT1G08190	1	2567475
AT1G08200	1	2573848
AT1G08210	1	2577020
AT1G08220	1	2581022
AT1G08230	1	2583654
AT1G08240	1	2588525
AT1G08250	1	2588857
AT1G08260	1	2590944
AT1G08270	1	2606269
AT1G08280	1	2608408
AT1G08290	1	2609996
AT1G08300	1	2614774
AT1G08310	1	2618647
AT1G08315	1	2620335
AT1G08320	1	2621904
AT1G08340	1	2631068
AT1G08350	1	2632810
AT1G08360	1	2636011
AT1G08370	1	2638181
AT1G08380	1	2640813
AT1G08390	1	2642214
AT1G08400	1	2643330
AT1G08410	1	2646189
AT1G08420	1	2649537
AT1G08430	1	2658716
AT1G08440	1	2663027
AT1G08450	1	2667798
AT1G08460	1	2672451
AT1G08465	1	2675813
AT1G08470	1	2682127
AT1G08480	1	2684234
AT1G08490	1	2685659
AT1G08500	1	2689016
AT1G08510	1	2691080
AT1G08520	1	2696412
AT1G08530	1	2701226
AT1G08540	1	2703336
AT1G08550	1	2706924
AT1G08560	1	2709632
AT1G08570	1	2712883
AT1G08580	1	2715079
AT1G08590	1	2718778
AT1G08592	1	2718875
AT1G08600	1	2723824
AT1G08610	1	2733657
AT1G08620	1	2736774
AT1G08630	1	2743761
AT1G08640	1	2748398
AT1G08650	1	2752154
AT1G08660	1	2757041
AT1G08670	1	2760346
AT1G08680	1	2762584
AT1G08695	1	2769056
AT1G08700	1	2769815
AT1G08710	1	2771633
AT1G08720	1	2774030
AT1G08730	1	2779963
AT1G08750	1	2801067
AT1G08760	1	2805371
AT1G08770	1	2808883
AT1G08780	1	2809778
AT1G08790	1	2811989
AT1G08800	1	2813061
AT1G08810	1	2819065
AT1G08820	1	2821552
AT1G08830	1	2827061
AT1G08840	1	2829105
AT1G08845	1	2838789
AT1G08860	1	2842153
AT1G08870	1	2846536
AT1G08880	1	2846949
AT1G08890	1	2848348
AT1G08900	1	2852454
AT1G08910	1	2856227
AT1G08920	1	2867259
AT1G08930	1	2873465
AT1G08940	1	2877692
AT1G08950	1	2879303
AT1G08960	1	2879642
AT1G08970	1	2882524
AT1G08980	1	2884411
AT1G08985	1	2887285
AT1G08990	1	2888753
AT1G09000	1	2891037
AT1G09010	1	2895166
AT1G09020	1	2899914
AT1G09026	1	2907124
AT1G09030	1	2908611
AT1G09040	1	2911317
AT1G09050	1	2918031
AT1G09060	1	2921064
AT1G09070	1	2927703
AT1G09080	1	2929217
AT1G09090	1	2932739
AT1G09100	1	2936528
AT1G09110	1	2939417
AT1G09130	1	2939570
AT1G09140	1	2942564
AT1G09150	1	2946229
AT1G09155	1	2949676
AT1G09157	1	2951665
AT1G09160	1	2952771
AT1G09170	1	2956589
AT1G09176	1	2964152
AT1G09180	1	2965023
AT1G09190	1	2966120
AT1G09195	1	2967940
AT1G09200	1	2971593
AT1G09210	1	2972842
AT1G09220	1	2977792
AT1G09230	1	2979520
AT1G09240	1	2984881
AT1G09245	1	2986939
AT1G09250	1	2989378
AT1G09260	1	2993404
AT1G09270	1	2994369
AT1G09280	1	2998100
AT1G09290	1	3001517
AT1G09300	1	3003495
AT1G09310	1	3009055
AT1G09320	1	3009941
AT1G09330	1	3012762
AT1G09340	1	3015328
AT1G09350	1	3019819
AT1G09360	1	3021802
AT1G09370	1	3024896
AT1G09380	1	3026135
AT1G09390	1	3031203
AT1G09400	1	3033512
AT1G09410	1	3035443
AT1G09415	1	3037754
AT1G09420	1	3038462
AT1G09421	1	3038631
AT1G09430	1	3041996
AT1G09440	1	3045513
AT1G09450	1	3049024
AT1G09460	1	3053901
AT1G09470	1	3055231
AT1G09480	1	3057975
AT1G09483	1	3060992
AT1G09490	1	3064124
AT1G09500	1	3066699
AT1G09510	1	3069385
AT1G09520	1	3070946
AT1G09530	1	3076582
AT1G09540	1	3086159
AT1G09550	1	3089733
AT1G09560	1	3093839
AT1G09570	1	3095256
AT1G09575	1	3101671
AT1G09580	1	3104588
AT1G09590	1	3106502
AT1G09600	1	3108617
AT1G09610	1	3111694
AT1G09620	1	3112778
AT1G09625	1	3117137
AT1G09630	1	3118203
AT1G09640	1	3119878
AT1G09645	1	3122956
AT1G09650	1	3125807
AT1G09660	1	3127771
AT1G09665	1	3133095
AT1G09680	1	3134107
AT1G09690	1	3136188
AT1G09700	1	3137767
AT1G09710	1	3140868
AT1G09720	1	3144438
AT1G09730	1	3147667
AT1G09740	1	3154532
AT1G09750	1	3157501
AT1G09760	1	3159125
AT1G09770	1	3161841
AT1G09780	1	3165370
AT1G09790	1	3168482
AT1G09794	1	3172108
AT1G09795	1	3173534
AT1G09800	1	3176883
AT1G09810	1	3180936
AT1G09812	1	3187817
AT1G09815	1	3189369
AT1G09820	1	3190288
AT1G09830	1	3192681
AT1G09840	1	3195824
AT1G09850	1	3201799
AT1G09860	1	3204016
AT1G09870	1	3205741
AT1G09880	1	3208828
AT1G09890	1	3214237
AT1G09900	1	3218133
AT1G09910	1	3220035
AT1G09920	1	3224684
AT1G09930	1	3227490
AT1G09932	1	3230450
AT1G09935	1	3234060
AT1G09940	1	3236995
AT1G09950	1	3240606
AT1G09960	1	3244213
AT1G09970	1	3252240
AT1G09980	1	3256245
AT1G09995	1	3262265
AT1G10000	1	3263877
AT1G10010	1	3265976
AT1G10020	1	3269604
AT1G10030	1	3273825
AT1G10040	1	3275891
AT1G10050	1	3279270
AT1G10060	1	3284239
AT1G10070	1	3288087
AT1G10090	1	3290311
AT1G10095	1	3297324
AT1G10100	1	3300697
AT1G10110	1	3302742
AT1G10120	1	3304039
AT1G10130	1	3310930
AT1G10140	1	3322802
AT1G10150	1	3325824
AT1G10155	1	3327637
AT1G10170	1	3333595
AT1G10180	1	3338303
AT1G10190	1	3343686
AT1G10200	1	3346390
AT1G10210	1	3349219
AT1G10220	1	3352159
AT1G10230	1	3355571
AT1G10240	1	3356680
AT1G10250	1	3360087
AT1G10270	1	3363504
AT1G10280	1	3366493
AT1G10290	1	3370558
AT1G10300	1	3378142
AT1G10310	1	3381601
AT1G10320	1	3384164
AT1G10330	1	3388747
AT1G10340	1	3390322
AT1G10350	1	3393407
AT1G10360	1	3395558
AT1G10370	1	3397081
AT1G10380	1	3400606
AT1G10385	1	3403224
AT1G10390	1	3407024
AT1G10400	1	3414852
AT1G10410	1	3416680
AT1G10417	1	3424186
AT1G10430	1	3428478
AT1G10440	1	3431185
AT1G10450	1	3431780
AT1G10455	1	3438555
AT1G10460	1	3439322
AT1G10470	1	3442327
AT1G10480	1	3449691
AT1G10490	1	3453228
AT1G10500	1	3460000
AT1G10510	1	3461635
AT1G10520	1	3465964
AT1G10522	1	3469580
AT1G10530	1	3471456
AT1G10540	1	3474864
AT1G10550	1	3479153
AT1G10560	1	3484580
AT1G10570	1	3487584
AT1G10580	1	3491281
AT1G10585	1	3493940
AT1G10586	1	3496928
AT1G10588	1	3501145
AT1G10590	1	3502004
AT1G10600	1	3503704
AT1G10610	1	3506186
AT1G10620	1	3509001
AT1G10630	1	3512795
AT1G10640	1	3515365
AT1G10650	1	3524018
AT1G10652	1	3527709
AT1G10657	1	3530467
AT1G10660	1	3532424
AT1G10670	1	3535383
AT1G10680	1	3538470
AT1G10682	1	3544991
AT1G10690	1	3549992
AT1G10700	1	3554104
AT1G10710	1	3558358
AT1G10717	1	3562180
AT1G10720	1	3562952
AT1G10730	1	3565463
AT1G10740	1	3567905
AT1G10745	1	3572710
AT1G10747	1	3574312
AT1G10750	1	3574807
AT1G10760	1	3581034
AT1G10770	1	3591633
AT1G10780	1	3592746
