"SNP","Chromosome","Position ","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","effect","FDR"
"AT1G01725",1,269792,0.0811067424300323,0.379953245761903,690,0.582062581365946,0.583921721381725,4.62553337385543,0.999326526413139
"AT1G01730",1,270956,0.59961105259427,0.354915989428751,690,0.582062581365946,0.582230633431995,-1.24425226421954,0.999326526413139
"AT1G01740",1,272111,0.222412117936048,0.350920071540128,690,0.582062581365946,0.582971228367591,-2.2472638546169,0.999326526413139
"AT1G01750",1,275366,0.780165725540113,0.269579841524335,690,0.582062581365946,0.582110077480851,1.2344651786043,0.999326526413139
"AT1G01760",1,276266,0.0263164227368859,0.440134721371709,690,0.582062581365946,0.585082304420029,-3.80953406762092,0.999326526413139
"AT1G01770",1,278615,0.792770187621506,0.423232654751683,690,0.582062581365946,0.582104663336003,-0.594811758939613,0.999326526413139
"AT1G01780",1,282761,0.237664118499501,0.400675103762673,690,0.582062581365946,0.582913587417782,-2.67686694670556,0.999326526413139
"AT1G01790",1,284610,0.802440268457632,0.442169168878875,690,0.582062581365946,0.582100746304299,-0.624399777989311,0.999326526413139
"AT1G01800",1,293342,0.543299033618372,0.458168588553107,690,0.582062581365946,0.582287895367009,1.16292232814158,0.999326526413139
"AT1G01810",1,295221,0.646111941071241,0.366522096723933,690,0.582062581365946,0.582191145086108,0.78887497595133,0.999326526413139
"AT1G01820",1,296001,0.423046768969059,0.344889812460282,690,0.582062581365946,0.582454081358394,-2.77516735561949,0.999326526413139
"AT1G01830",1,298535,0.119602856813356,0.330416636287781,690,0.582062581365946,0.583542163432795,-4.36377329769675,0.999326526413139
"AT1G01840",1,303537,0.0623076163099561,0.439308119084745,690,0.582062581365946,0.584186536756991,3.24000252778933,0.999326526413139
"AT1G01860",1,304133,0.150738582763815,0.446002042659509,690,0.582062581365946,0.583323331378029,-2.61095825111079,0.999326526413139
"AT1G01880",1,306480,0.431832652540474,0.375654570509876,690,0.582062581365946,0.582439468184962,-1.87218329316966,0.999326526413139
"AT1G01900",1,310316,0.869545767709785,0.420782435236272,690,0.582062581365946,0.582079026851164,-0.376296838130656,0.999326526413139
"AT1G01910",1,313101,0.929640646524477,0.479265310990518,690,0.582062581365946,0.58206733469878,0.236415125491476,0.999326526413139
"AT1G01920",1,316128,0.605715791187411,0.449355935845131,690,0.582062581365946,0.582225069671857,-1.37668277873308,0.999326526413139
"AT1G01930",1,319836,0.280377250232253,0.461513524861286,690,0.582062581365946,0.582773625880935,-2.00227161403382,0.999326526413139
"AT1G01940",1,323027,0.472708643767969,0.461752346684948,690,0.582062581365946,0.58237707512711,-1.74893497519952,0.999326526413139
"AT1G01950",1,325379,0.359346199539712,0.437148954006783,690,0.582062581365946,0.582575137431189,-2.46955876977881,0.999326526413139
"AT1G01960",1,330588,0.662755316603868,0.469436817429701,690,0.582062581365946,0.582178555455381,2.31933471011871,0.999326526413139
"AT1G01970",1,338291,0.0352277127850001,0.461095043955787,690,0.582062581365946,0.584774753342154,-4.17615568329711,0.999326526413139
"AT1G01990",1,343166,0.100835661618325,0.434022516060565,690,0.582062581365946,0.583707248640481,-3.00642892731776,0.999326526413139
"AT1G02000",1,345812,0.126916659859858,0.449958346195553,690,0.582062581365946,0.583485452226925,-2.47899109259197,0.999326526413139
"AT1G02010",1,347891,0.341971146578064,0.398784531593985,690,0.582062581365946,0.582613505406512,1.59818366372019,0.999326526413139
"AT1G02020",1,352637,0.44589438765237,0.398548250415979,690,0.582062581365946,0.582416998487222,-1.19197713437279,0.999326526413139
"AT1G02030",1,355321,0.160911628834733,0.29786293294031,690,0.582062581365946,0.583262719729247,2.5201956096098,0.999326526413139
"AT1G02050",1,359117,0.493809431249189,0.392972123353826,690,0.582062581365946,0.582348141863055,-0.928468706008971,0.999326526413139
"AT1G02060",1,360918,0.0549117580827715,0.424774898020098,690,0.582062581365946,0.584315176182206,5.41184509461891,0.999326526413139
"AT1G02065",1,365209,0.996373054202595,0.311819234715672,690,0.582062581365946,0.582062593964165,-0.00989410238253186,0.999326526413139
"AT1G02070",1,370257,0.812887845452317,0.293183038110575,690,0.582062581365946,0.582096742039269,0.339872556158298,0.999326526413139
"AT1G02074",1,372064,0.23089249632698,0.175835961399903,690,0.582062581365946,0.582938611035827,1.32071456460289,0.999326526413139
"AT1G02080",1,373335,0.910992376396453,0.486096651911661,690,0.582062581365946,0.582070200224592,0.444477521930821,0.999326526413139
"AT1G02090",1,387277,0.749894496405542,0.401888502774635,690,0.582062581365946,0.582124541788971,-1.08680100952915,0.999326526413139
"AT1G02100",1,389812,0.84307229942429,0.407280590721849,690,0.582062581365946,0.582086475661681,-0.488787414731632,0.999326526413139
"AT1G02110",1,392831,0.334041440876528,0.446532828113307,690,0.582062581365946,0.582631905180539,-3.11303560537635,0.999326526413139
"AT1G02120",1,395761,0.658458396531062,0.389544999076772,690,0.582062581365946,0.582181731443328,-1.49194090720994,0.999326526413139
"AT1G02130",1,400035,0.168104140393981,0.450473631194365,690,0.582062581365946,0.583222447197545,-2.87806157727391,0.999326526413139
"AT1G02140",1,403190,0.530969501189143,0.460721891917621,690,0.582062581365946,0.582301972403817,1.87627408189292,0.999326526413139
"AT1G02145",1,404600,0.224221057827427,0.446672375992093,690,0.582062581365946,0.58296414668454,2.76707401777458,0.999326526413139
"AT1G02150",1,408622,0.247004682174205,0.466117204636573,690,0.582062581365946,0.582880458241389,-3.00608414242379,0.999326526413139
"AT1G02160",1,410748,0.508902674674972,0.402320426189848,690,0.582062581365946,0.582328684748638,-1.84451545157208,0.999326526413139
"AT1G02170",1,411779,0.706471915043276,0.377510926457165,690,0.582062581365946,0.582149059552662,-0.837533033602085,0.999326526413139
"AT1G02180",1,413522,0.422233625692536,0.450587743360452,690,0.582062581365946,0.582455456917903,-1.29774340488621,0.999326526413139
"AT1G02190",1,415079,0.619753993209778,0.27996971663422,690,0.582062581365946,0.582212720556756,-0.823635916990497,0.999326526413139
"AT1G02205",1,418748,0.75020892071255,0.32177328435664,690,0.582062581365946,0.582124380717424,-0.615233424665348,0.999326526413139
"AT1G02220",1,428814,0.255877527300117,0.255023866702245,690,0.582062581365946,0.582850379134034,-1.72919494276448,0.999326526413139
"AT1G02230",1,435174,0.799907329959507,0.293690139874595,690,0.582062581365946,0.582101752622167,-0.363082953094818,0.999326526413139
"AT1G02250",1,437951,0.670320789954391,0.283877071507288,690,0.582062581365946,0.582173087099052,-0.529307583885384,0.999326526413139
"AT1G02260",1,440441,0.204454994495593,0.414168988476219,690,0.582062581365946,0.583045486317358,1.7237675088345,0.999326526413139
"AT1G02270",1,443149,0.700938071590138,0.372898826900864,690,0.582062581365946,0.582152517992265,-0.863862260681344,0.999326526413139
"AT1G02280",1,448463,0.19640045764587,0.444199316612383,690,0.582062581365946,0.58308134768813,-3.64498308383918,0.999326526413139
"AT1G02290",1,450527,0.334314480368934,0.484762138704659,690,0.582062581365946,0.582631261917962,-2.17250714473994,0.999326526413139
"AT1G02300",1,453288,0.85818610557934,0.32613851860435,690,0.582062581365946,0.582082047688546,-0.363666166384064,0.999326526413139
"AT1G02305",1,455688,0.886407057009777,0.289225822502885,690,0.582062581365946,0.58207502316985,-0.590491414222925,0.999326526413139
"AT1G02310",1,458133,0.38898340671772,0.280103969754253,690,0.582062581365946,0.582515283186944,1.81235734540132,0.999326526413139
"AT1G02320",1,461828,0.0673610468107849,0.123078334250596,690,0.582062581365946,0.584107686532243,2.11758217395209,0.999326526413139
"AT1G02330",1,462075,0.0239686864838747,0.423930435383625,690,0.582062581365946,0.585181669930463,-3.93705912521364,0.999326526413139
"AT1G02335",1,463855,0.855125165768636,0.433963001386524,690,0.582062581365946,0.582082906609057,0.412963024813507,0.999326526413139
"AT1G02340",1,465718,0.811513113117155,0.307909969150444,690,0.582062581365946,0.582097255527813,-0.461086168317706,0.999326526413139
"AT1G02350",1,469818,0.854101180398351,0.343295535936385,690,0.582062581365946,0.582083198224055,0.434011361250668,0.999326526413139
"AT1G02360",1,471990,0.57760272713561,0.33878402306061,690,0.582062581365946,0.582251702924295,-1.17070089288973,0.999326526413139
"AT1G02370",1,474500,0.790728057386476,0.420942967699917,690,0.582062581365946,0.582105516693118,-0.69264606102297,0.999326526413139
"AT1G02380",1,477000,0.993313077344097,0.366325913312347,690,0.582062581365946,0.582062624189903,-0.0172834863187745,0.999326526413139
"AT1G02390",1,480852,0.613740061231768,0.314091900758799,690,0.582062581365946,0.582217935865359,-1.18755228436021,0.999326526413139
"AT1G02400",1,486801,0.160714300980929,0.316921906060725,690,0.582062581365946,0.583263853481984,-3.22188841515162,0.999326526413139
"AT1G02405",1,489979,0.383187570127858,0.390847253920459,690,0.582062581365946,0.582526472785206,-1.12037802971463,0.999326526413139
"AT1G02410",1,490925,0.316254774483648,0.441084904171008,690,0.582062581365946,0.582675379765562,1.87239191692424,0.999326526413139
"AT1G02420",1,493683,0.448681765900419,0.464344631291569,690,0.582062581365946,0.582412673889491,-1.53659882950706,0.999326526413139
"AT1G02430",1,495050,0.762882139500608,0.415321803384023,690,0.582062581365946,0.582118079509729,0.529854580012397,0.999326526413139
"AT1G02440",1,496586,0.324611183467148,0.266512305977189,690,0.582062581365946,0.58265456206167,-2.30131501911092,0.999326526413139
"AT1G02450",1,497976,0.325283836810825,0.227044509802718,690,0.582062581365946,0.582652917135699,2.27868882112489,0.999326526413139
"AT1G02460",1,504673,0.763892376486262,0.372464704038036,690,0.582062581365946,0.582117593134533,-0.642446862133511,0.999326526413139
"AT1G02470",1,511765,0.305619466105005,0.194533689176108,690,0.582062581365946,0.582702941909441,2.83953521043077,0.999326526413139
"AT1G02475",1,513843,0.387769203814423,0.395394092674946,690,0.582062581365946,0.58251760759194,-2.0142613585158,0.999326526413139
"AT1G02490",1,516618,0.877369941254636,0.234325860325651,690,0.582062581365946,0.582077098028944,-0.192285290860127,0.999326526413139
"AT1G02500",1,518251,0.0716340202731771,0.40568800629794,690,0.582062581365946,0.584045806829879,-5.10187732265695,0.999326526413139
"AT1G02520",1,523651,0.560773496261548,0.269878690683461,690,0.582062581365946,0.582268928828168,2.25599732327828,0.999326526413139
"AT1G02530",1,529795,0.993135496494041,0.286863619472315,690,0.582062581365946,0.582062626494666,-0.0134901526107569,0.999326526413139
"AT1G02540",1,534827,0.833032377597513,0.108059013971275,690,0.582062581365946,0.58208967812366,-0.267889072435082,0.999326526413139
"AT1G02560",1,537860,0.107968750779887,0.352825588900667,690,0.582062581365946,0.583640798274439,4.51283504857201,0.999326526413139
"AT1G02570",1,541335,0.845874743186018,0.208899506290811,690,0.582062581365946,0.582085619105447,0.524197441491197,0.999326526413139
"AT1G02575",1,543110,0.422539047850704,0.182549541555753,690,0.582062581365946,0.582454939783236,1.20014680458144,0.999326526413139
"AT1G02610",1,553050,0.905720803398046,0.358336638097949,690,0.582062581365946,0.582071133785683,0.364661728126521,0.999326526413139
"AT1G02620",1,557092,0.528841355245753,0.17927343577552,690,0.582062581365946,0.58230446235462,-1.25065947870098,0.999326526413139
"AT1G02630",1,560610,0.159362761502133,0.285010419242045,690,0.582062581365946,0.583271661756407,-2.31376800792168,0.999326526413139
"AT1G02640",1,564205,0.726561546972458,0.349322354563321,690,0.582062581365946,0.582137147535275,0.804897153875572,0.999326526413139
"AT1G02650",1,568704,0.1411095041943,0.380766014226516,690,0.582062581365946,0.583385135014502,-2.46028954590838,0.999326526413139
"AT1G02660",1,571955,0.376373289449318,0.354851471916401,690,0.582062581365946,0.582539939844976,-2.10429213698808,0.999326526413139
"AT1G02670",1,576046,0.407708232122742,0.364197199780989,690,0.582062581365946,0.582480712370288,-1.91733570825818,0.999326526413139
"AT1G02680",1,580625,0.462386143419246,0.358738277919864,690,0.582062581365946,0.582392008701103,1.41870665153147,0.999326526413139
"AT1G02690",1,584260,0.750390442953486,0.331807616495433,690,0.582062581365946,0.582124287833347,-1.95671663114626,0.999326526413139
"AT1G02700",1,588329,0.850336428184144,0.231647181413244,690,0.582062581365946,0.58208428884825,-0.622437941849057,0.999326526413139
"AT1G02710",1,589706,0.520689026220597,0.337857223917816,690,0.582062581365946,0.5823141686808,-1.82720930298819,0.999326526413139
"AT1G02720",1,591826,0.283880837647055,0.441545980233379,690,0.582062581365946,0.582763339201336,-3.55470881376823,0.999326526413139
"AT1G02730",1,594573,0.722012167204886,0.341722610951617,690,0.582062581365946,0.582139757862571,2.08224708207126,0.999326526413139
"AT1G02740",1,599416,0.367766199074282,0.402117388870822,690,0.582062581365946,0.582557448406246,-1.60111915327616,0.999326526413139
"AT1G02750",1,602497,0.397162734294596,0.400858767356717,690,0.582062581365946,0.58249989195109,-1.67141193268981,0.999326526413139
"AT1G02770",1,604873,0.685813286908526,0.243310452596289,690,0.582062581365946,0.582162371120543,-0.515372485236639,0.999326526413139
"AT1G02780",1,607808,0.604497963117529,0.439086426460008,690,0.582062581365946,0.582226170087322,2.19823951741273,0.999326526413139
"AT1G02800",1,613216,0.102396317137971,0.320489238040493,690,0.582062581365946,0.583692278303877,-4.32423776723954,0.999326526413139
"AT1G02810",1,618265,0.940508429862308,0.227765888392886,690,0.582062581365946,0.582065977170263,-0.234561135985132,0.999326526413139
"AT1G02813",1,620678,0.759290833292557,0.1720397888257,690,0.582062581365946,0.5821198274763,-0.437238688055459,0.999326526413139
"AT1G02816",1,621461,0.0153818377035317,0.405606968152786,690,0.582062581365946,0.585658159905871,5.19281948226853,0.999326526413139
"AT1G02820",1,623765,0.807168471238275,0.164503965852816,690,0.582062581365946,0.582098904994407,0.619896048210649,0.999326526413139
"AT1G02830",1,625145,0.49768533224098,0.132277924362357,690,0.582062581365946,0.582343049737377,-0.792075413525481,0.999326526413139
"AT1G02840",1,626741,0.329743504094946,0.425028571975993,690,0.582062581365946,0.582642124299354,2.65365048785679,0.999326526413139
"AT1G02850",1,630505,0.471151951139449,0.250494327169585,690,0.582062581365946,0.582379293449067,2.0288336960075,0.999326526413139
"AT1G02860",1,635144,0.0887473866291798,0.36201202773034,690,0.582062581365946,0.583832544453656,4.18663334045414,0.999326526413139
"AT1G02870",1,637214,0.879763018272918,0.448499523278972,690,0.582062581365946,0.582076532674448,-0.328879883309128,0.999326526413139
"AT1G02880",1,642752,0.322885568451491,0.457631983778329,690,0.582062581365946,0.582658802638961,2.18889724430119,0.999326526413139
"AT1G02890",1,645092,0.354169102693651,0.342537155157405,690,0.582062581365946,0.582586300175813,3.1503742414352,0.999326526413139
"AT1G02900",1,653765,0.0852732681361016,0.267443452629378,690,0.582062581365946,0.583872017055225,-7.33858845951181,0.999326526413139
"AT1G02910",1,655577,0.576263840061545,0.481511048296154,690,0.582062581365946,0.582253037210319,1.10471167230935,0.999326526413139
"AT1G02920",1,658657,0.140721578902426,0.216401042239423,690,0.582062581365946,0.583387723831548,4.21165171782559,0.999326526413139
"AT1G02930",1,661177,0.711221119908956,0.23545744870627,690,0.582062581365946,0.582146153089818,1.0292708557572,0.999326526413139
"AT1G02940",1,663079,0.666775720657928,0.231567579560063,690,0.582062581365946,0.582175629993042,0.633012432991563,0.999326526413139
"AT1G02950",1,665152,0.51953789960628,0.452103782199361,690,0.582062581365946,0.58231556098116,1.27470158077449,0.999326526413139
"AT1G02960",1,666872,0.904762995193446,0.435018831158386,690,0.582062581365946,0.582071309278758,-0.337706426544173,0.999326526413139
"AT1G02970",1,673306,0.527566545745611,0.369155381325731,690,0.582062581365946,0.582305962524662,-2.27205401584069,0.999326526413139
"AT1G02990",1,681396,0.572412071635239,0.434204150362824,690,0.582062581365946,0.582256910204006,-1.67145282099591,0.999326526413139
"AT1G03000",1,687890,0.344439784309313,0.486132651776984,690,0.582062581365946,0.582607894236461,-2.25295093389286,0.999326526413139
"AT1G03010",1,693480,0.516304995817912,0.381913933898047,690,0.582062581365946,0.582319500401867,1.04235022570901,0.999326526413139
"AT1G03020",1,698207,0.00840061442132768,0.277349774513123,690,0.582062581365946,0.586319006413303,-3.75426521039299,0.999326526413139
"AT1G03030",1,701478,0.537836627099429,0.4190555017285,690,0.582062581365946,0.582294059327161,1.49983062199681,0.999326526413139
"AT1G03040",1,703906,0.31979440055474,0.432294074525641,690,0.582062581365946,0.582666474306195,-2.88335023453328,0.999326526413139
"AT1G03055",1,710018,0.84953981620763,0.350363621526866,690,0.582062581365946,0.582084523353049,-0.544559839880094,0.999326526413139
"AT1G03060",1,712473,0.759262014437953,0.489229512817962,690,0.582062581365946,0.582119841622942,1.04464446775819,0.999326526413139
"AT1G03070",1,729901,0.590908273701512,0.341149088161937,690,0.582062581365946,0.58223877309506,-1.26139902503928,0.999326526413139
"AT1G03080",1,731611,0.773232183463159,0.453275013610308,690,0.582062581365946,0.582113206559024,-0.753070646827837,0.999326526413139
"AT1G03090",1,739679,0.686451214502033,0.258907809238279,690,0.582062581365946,0.582161943528893,1.27385750942631,0.999326526413139
"AT1G03100",1,743885,0.155501083249014,0.402534686053757,690,0.582062581365946,0.583294394734014,-4.13674215407445,0.999326526413139
"AT1G03106",1,748102,0.234715785226157,0.173860214814049,690,0.582062581365946,0.582924375029239,-1.61295395952675,0.999326526413139
"AT1G03110",1,749246,0.524169246858587,0.397758014527457,690,0.582062581365946,0.582309992215055,-2.75025586781703,0.999326526413139
"AT1G03120",1,752271,0.00742101490863701,0.245082709669755,690,0.582062581365946,0.586455828345579,-5.44409130181157,0.999326526413139
"AT1G03130",1,753307,0.42678021649081,0.481081845055156,690,0.582062581365946,0.582447816242476,2.25104708908475,0.999326526413139
"AT1G03140",1,754371,0.910247438942628,0.379025761567427,690,0.582062581365946,0.58207032883332,0.316292654006247,0.999326526413139
"AT1G03150",1,756414,0.530244666466878,0.334045858001949,690,0.582062581365946,0.582302818449523,-1.05978978306666,0.999326526413139
"AT1G03160",1,761282,0.662191928373425,0.48427731613115,690,0.582062581365946,0.582178968960781,0.958070678781951,0.999326526413139
"AT1G03170",1,769632,0.432309259546049,0.314334550807179,690,0.582062581365946,0.582438688335176,1.08310296096806,0.999326526413139
"AT1G03180",1,773411,0.119015903448645,0.370783839968291,690,0.582062581365946,0.583546880738608,3.39369004712353,0.999326526413139
"AT1G03190",1,775527,0.936162689889832,0.452166197291771,690,0.582062581365946,0.582066492507045,-0.223789971048973,0.999326526413139
"AT1G03200",1,780602,0.376868998897603,0.224655639629788,690,0.582062581365946,0.582538948597125,1.20010755731664,0.999326526413139
"AT1G03210",1,782948,0.664492746753482,0.401325323054445,690,0.582062581365946,0.582177285758499,-0.879585571608914,0.999326526413139
"AT1G03220",1,787122,0.557504261308917,0.32918023917375,690,0.582062581365946,0.582272391821008,1.18574648865979,0.999326526413139
"AT1G03230",1,790091,0.618489125502081,0.354781822450009,690,0.582062581365946,0.58221380821938,0.929677236261341,0.999326526413139
